content,cleaned_text
aplikasi busukkkk.. sudah sering banget update. tapi masihhhhh aja ngebug,aplikasi busukkkk update masihhhhh ngebug
Terlalu ribet,ribet
"aplikasinya eror terus ini, padahal pasword sama BCA id sudah bener",aplikasi eror pasword bca id bener
duit gw abis mulu apk skem,duit gw abis mulu apk skem
"berbagai pengalaman transaksi keuangan, mulai 100jt per hari",alam transaksi uang jt
Mantap😄,mantap
sangat membantu,bantu
"anjay berkali vermuk, gagal .. padahal tempatnya SDH terang.. akhirnya pakai BCA mobile saja..",anjay kali vermuk gagal tempat sdh terang pakai bca mobile
Yookk Bisaaa Yoookkk Untuk Bank BCA untuk kembankan fitur Qris sumber dana dari Kartu Kredit BCA jangan cuma dari Tabungan aja. Masaaa sekelas Bank Besar BCA tapi tidak ikuti perkembangan Bank-Bank Lain. Malulah dengan nama Besar Bank BCA yang mendunia.,yookk bisaaa yoookkk bank bca kemban fitur qris sumber dana kartu kredit bca jangan tabung masaaa kelas bank bca tidak ikut kembang bank bank malu nama bank bca dunia
Sering terblokir padahal tidak pernah ganti hp,blokir tidak ganti hp
"Kemaren ada yang transfer ke rekening saya, 50rb, tapi kenapa masuknya cuma 22rb?",kemaren transfer rekening rb masuk rb
Tolong dong aplikasinya dipermudah untuk verifikasi wajah. Saya matanya minus sehingga gagal terus verifikasi,tolong aplikasi mudah verifikasi wajah mata minus gagal verifikasi
ok,ok
makin update aplikasinya makin lemot buka aplikasi my bcanya,update aplikasi buka aplikasi bcanya
"bca layanan bagus mantep,,, slalu d hati",bca layan bagus mantep slalu hati
Jelek banget gak diapa apain tiba-tiba terblokir sendiri aplikasi aneh sekelas BCA masa begini aplikasi perbankan modern nya masih bagusan MobileBCA,jelek apa apain blokir aplikasi aneh kelas bca aplikasi perban modern bagus mobilebca
"aplikasinya mantap, memudahkan pengguna",aplikasi mantap mudah guna
Transaksi mudah aman dan cepat,transaksi mudah aman cepat
mantap dah lanjay...,mantap dah lanjay
sangat membantu,bantu
bagus dan multifungsi!,bagus multifungsi
Mantap myBCA👍,mantap mybca
"Kenapa ya sering ke log out sendiri, kadang-kadang juga gabisa login gimana ini apk nya",log out kadang kadang gabisa login gimana apk
ini kok kenapa ya akun my BCA saya tidak bisa masuk sama sekali selepas update! minta bantuannya dong,akun bca tidak masuk lepas update bantu
aplikasi mantap,aplikasi mantap
"apa fungsinya tiba iklan mybca masuk nawarin untuk di unduh, padahal saya sudah punya BCA mobile",fungsi iklan mybca masuk nawarin unduh bca mobile
mudah simple dan bnyk fiturnya dan I love my BCA,mudah simple bnyk fiturnya love bca
sangat membantu dan gampang banget untuk di gunakan dan lain²nya sangat nyaman,bantu gampang lain nya nyaman
"tolong dong keluhan saya sama dengan kebanyakan orang"",banyak update tapi malah makin lemot,mau transaksi lama banget jadi malu sendiri,SAYA INGAT KAN SEKALI LAGI,BUKAN MASALAH JARINGAN TAPI APK NYA YG LEMOT,HARAP DI BACA DENGAN TELITI KELUHAN KAMI SEMUA,SAYA GAMAU LIAT ALASAN CEK JARINGAN CEK JARINGAN,BUKAN MASALAH JARINGAN,APK NYA LEMOTTTTT,LAMA LAMA GA PADA MAU LAGI PAKE APK INI!!!!!!!!",tolong keluh banyak orang update transaksi malu bukan jaring apk harap baca teliti keluh gamau liat alas cek jaring cek jaring bukan jaring apk lemottttt pake apk
"APK GA JELAS, LAGI BUTUH TIBA TIBA LOGOUT PAKE PASSWORD YANG SAMA TETEP SALAH",apk butuh logout pake password tetep salah
"parah my BCA.ngebug""",parah bca ngebug
"verifikasi tidak dapat dilanjutkan, semntara notif pesan sudah info dan verifikasi berhasil tetapi tidak bisa login",verifikasi tidak lanjut semntara notif pesan info verifikasi hasil tidak login
"Terimakasih tutorialnya dengan informasi, institusi, intelektual, investasi, independen, internasional, ECU sistem pengawasan lalu lintas mata uang digital di perangkat lunak desentralisasi Global Holding AI, singkronisasi merajut perdamaian ekonomi dunia yang adil dan beradab, ber KETUHANAN YANG MAHA ESA 💯❤️🙏☝️",terimakasih tutorial informasi institusi intelektual investasi independen internasional ecu sistem awas lintas mata uang digital perangkat lunak desentralisasi global holding ai singkronisasi rajut damai ekonomi dunia adil adab ber tuhan maha esa
"tgl 30 mei saldo saya hilang 400 ribu tgl 01 Juni saldo saya hilang 100 ribu gak bisa di percaya lagi nih mbangking my BCA, buat mau bikin my BCA,mikir""lagi deh, awas saldo nya ke kuras",tgl mei saldo hilang ribu tgl juni saldo hilang ribu percaya nih mbangking bca bikin bca mikir deh awas saldo kuras
woi buat aplikasi yg bener dong masa kirim kode otp aj selalu gagal,woi aplikasi bener kirim kode otp aj gagal
setalah update di playstore. tidak bisa dibuka aplikasi my bca nya . keteranganya sedang diperbarui padahal sudah slesai update,seta update playstore tidak buka aplikasi bca keteranganya baru slesai update
saya suka,suka
"Proses veifikasi wajahnya susah sekali, wajah sudah muncul, sudah ditempat terang, tapi gagal terus.",proses veifikasi wajah susah wajah muncul tempat terang gagal
"Seperti nya myBCA Harus Update.. Buat TAP Kendala Semua.. Sy Mencoba di 5 Produck TAP Baik samsung dan Xiomy Selalu Close Aplikasi Saat Membaca Wajah.. sy.. Sudah Call BCA, Datang Ke Kantor cabang BCA, Sampai Ke Samsung Dan Xiomy Center.. Hasil Nya Aplikas BCA HaruS UPDATE.. Disayang kan Bank Terbesar di Indonesia Kerja IT nya Tidak Di Tes Dulu. Sebelum di Tampil kan di Play Store.. lebih baik apk sblmnya Pakai Foto KTP saja.. Terima Kasih Sudah Membuang Waktu Saya 4 Hari Untuk Masalah Ini..",mybca update tap kendala sy coba produck tap samsung xiomy close aplikasi baca wajah sy call bca kantor cabang bca samsung xiomy center hasil aplikas bca update sayang bank besar indonesia kerja it tidak tes tampil play store apk sblmnya pakai foto ktp terima kasih buang
"mbanking ter aneh saya mau login ke akun, malah stuck di kode negara (no telepon) di karenakan kode negara ""Indonesia"" tidak ada",mbanking ter aneh login akun stuck kode negara no telepon karena kode negara indonesia tidak
lha kok aplikasine sering tiba2 berhenti sendiri pye to kih ! tolong di perbaiki lagi,lha aplikasine henti pye to kih tolong baik
"mau login, kok gak ada +62 indonesia.",login indonesia
"Mohon perbaikan untuk pembayaran PBB. Saya memasukkan NOP saya untuk wilayah Kab. Trenggalek, muncul ""No. Objek Pajak yang Anda masukkan tidak sesuai. Mohon periksa kembali"". Semoga segera ada perbaikan sehingga saya tidak perlu membayar melalui online marketplace",mohon baik bayar pbb masuk nop wilayah kab trenggalek muncul no objek pajak masuk tidak sesuai mohon periksa moga baik tidak bayar online marketplace
payah,payah
apk myBCA semakin tida relevan begitu sangat buruk loging lemot pas mau melakukan transaksi semakin parah lemotnya saya sarankan untuk yg belum ada apk my BCA lebih baik jangan di download cuma bikin ngeselin,apk mybca tida relevan buruk loging pas transaksi parah saran belum apk bca jangan download bikin ngeselin
"mutasi tidak tercatat penuh, aneh",mutasi tidak catat penuh aneh
BCA BANK TERBAIK.,bca bank baik
lanjutkan,lanjut
lama banget mengistal,istal
sangat bagus,bagus
jossss,jossss
"selalu gagal verifikasi wajah, harus telepon CS baru bisa. merepotkan.",gagal verifikasi wajah telepon cs repot
ok,ok
setelah di update semakin parahhhh,update parahhhh
mantap,mantap
👍,
"Selamat Tahun Baru Islam 1 Muharram 1448 H Semoga di tahun yang baru ini, iman kita semakin kokoh, rezeki semakin berkah, dan segala doa yang kita semogakan segera diijabah Allah SWT 🤲",selamat islam muharram moga iman kokoh rezeki berkah doa moga diijabah allah swt
niat hati mau belajar invest reksadana di my bca malah gak bisa daftar data investor harus melalui cabang mulu gak jelas,niat hati ajar invest reksadana bca daftar data investor cabang mulu
"bagus tapi mohon di tingkatkan kualitas""y lagi sering ngebleng lelet.tidak kaya BCA mobile cepet tidak ada lelet",bagus mohon tingkat kualitas ngebleng lelet tidak kaya bca mobile cepet tidak lelet
"Semuanya sudah bagus, hanya saja dari segi performa perlu ditingkatkan lagi. [Update] Fiturnya sudah banyak, tapi optimasi performa perlu ditingkatkan agar dapat seringan BCA Mobile. [Update] Tolong tambahkan fitur mode gelap.",bagus segi performa tingkat update fiturnya optimasi performa tingkat sering bca mobile update tolong tambah fitur mode gelap
"tolong kalau membuat iklan sedikit lebih mudah di lewati karena saya sedang mengedit tugas kuliah saya di aplikasi editor dan muncul iklan bca saya ingin menekan lewati tetapi malah masuk ke bca dan alhasil tugas kuliah saya hilang padahal besok harus di kumpulkan dan bila kalian ingin tahu, saya mengerjakan ini 5jam untuk desain dan video iklan produk yang bagus, sudah hampir selesai malah hilang... saya kasih bintang 5 supaya bisa di lihat kalian semua.",tolong iklan mudah lewat edit tugas kuliah aplikasi editor muncul iklan bca tekan lewat masuk bca alhasil tugas kuliah hilang besok kumpul jam desain video iklan produk bagus selesai hilang kasih bintang lihat
pulsa udah abis banyak tapi otp ga terkirim²,pulsa abis otp kirim
aku juga bingung masa di bawa masuk di pembuatan rekening Mulu dan singkron data gak bisa masukenu my bca,bingung bawa masuk buat rekening mulu singkron data masukenu bca
Terima Kasih Kak,terima kasih kak
"ini kenapa ya,ga bisa masuk padahal selalu bener masukin PINnya terus pasword juga dan selalu pakai fingerprint,gimana si bca,kalau bukan karena untuk kerja tau masalah begini ogah buat pake bca",masuk bener masukin pin pasword pakai fingerprint gimana si bca bukan kerja tau ogah pake bca
beli token gak muncul sudah bayar padahal lelet,beli token muncul bayar lelet
"mau masukin nomor telpon tapi kode negara Indonesia ga ada. Ini gimana maksudnya, ga jelas masa negara lain ada kodenya sedangkan Indonesia ga ada",masukin nomor telpon kode negara indonesia gimana maksud negara kode indonesia
potongan gede udh ribet jga,potong gede udh ribet jga
sangat bagus,bagus
ok baik dan jelas,ok
verifikasi kontollll beberapa kali verifikasi gagal gagal terus dah 3 hari tiap kali dicoba gagal gagal terus.payah !,verifikasi kontollll kali verifikasi gagal gagal dah kali coba gagal gagal payah
sangat membantu meski tanpa kartu atm,bantu kartu atm
tidak bisa untuk verifikasi e-ktp dan wajah,tidak verifikasi ktp wajah
ok,ok
bagus,bagus
aplikasi sangat membantu di saat genting dan sangat membantu buat bisnis,aplikasi bantu genting bantu bisnis
saya edit ulasan saya karna sekarang aplikasinya tidak pernah mengalami kendala,edit ulas karna aplikasi tidak alami kendala
"mau login malah BCA ID nya diblokir, udah chat cs katanya blokiran sudah dibuka dan disuruh reset password, eh katanya no telepon tidak bisa dipakai untuk transaksi, mau coba reset password lagi malah nomor kartu tidak valid, hadeh aneh banget layanannya",login bca id blokir chat cs blokir buka suruh reset password eh no telepon tidak pakai transaksi coba reset password nomor kartu tidak valid hadeh aneh layan
baru download udah suruh update kenapa ga sekalian aja pas download,download suruh update pas download
"penempatan deposito untuk perpanjangan (Aro) cukup ribet dan membingungkan, Krn TDK bisa merubah Aro sebelum jatuh tempo..bank lain sdh demikian flexible. ini terasa kaku. harus bolak balik lihat Ken kalau terlewat masuk status Aro berikutnya..",tempat deposito panjang aro ribet bingung krn tdk rubah aro jatuh tempo bank sdh flexible kaku bolak lihat ken lewat masuk status aro
kurang masalah notifikasi jarang nongol,kurang notifikasi jarang nongol
kenapa di hp saya kode negara indonesia tidak muncul?,hp kode negara indonesia tidak muncul
ok,ok
Cepat dan mudah,cepat mudah
dear developer str3ss! adeh adeh daftar harus pake nomor yg digunakan untuk paket saat ini begitu mulu udah bner benr nomor teleponnya itu udh sya cek 100x mungkin tapi tetep pesan itu trus yg muncul aneh aneh. yg salah nomor teleponnya apa aplikasinya ini? apa 0T4K developernya yang error?,dear developer strss adeh adeh daftar pake nomor paket mulu bner benr nomor telepon udh sya cek tetep pesan trus muncul aneh aneh salah nomor telepon aplikasi tk developer error
er or pas verifykasi wajah Malah keluar aplikasi atau mental keluar aplikasi mohon diperbaiki buat vivo y93,er or pas verifykasi wajah aplikasi mental aplikasi mohon baik vivo
Lebih simpel dan fitur lengkap✨👍🏻,simpel fitur lengkap
cukup baik',
"udah jadi,masuk masak ngulang terus,tolong perbaiki,ngentek2 pulsa otp wae kang, piye Ki,seng genah gawe ne,",masuk masak ngulang tolong baik ngentek pulsa otp wae kang piye ki seng genah gawe ne
"padahal semua data udh bener,tinggal verivikasi wajah aja susah gabisa -bisa..angel",data udh bener tinggal verivikasi wajah susah gabisa angel
"kok lemot banget min padahal jaringannya bagus, dan pas scroll lagi min",min jaring bagus pas scroll min
"aplikasi bapuk, loading lemot",aplikasi bapuk loading
baru maunyoba bismillah aman amanah,maunyoba bismillah aman amanah
gak ada kode negara Indonesia untuk ngisi nomor telpon,kode negara indonesia ngisi nomor telpon
setelah update kenapa biometrik saya selalu gagal? agak ribet kalau harus ketik password setiap kali mau login.,update biometrik gagal ribet ketik password kali login
kenapa kalau kita buka aplikasinya selalu lag padahal ada paket internet dan jaringan bagus. perbaiki dlu itu mengani login ke aplikasinya ngeleg terus,buka aplikasi lag paket internet jaring bagus baik dlu ani login aplikasi ngeleg
ok,ok
ribet,ribet
selvi nya susaah...parah bngtt,selvi susaah parah bngtt
aplikasi yang memudahkan nasabah untuk bertransaksi dan berinvestasi,aplikasi mudah nasabah transaksi investasi
sangat bagus,bagus
"ganti nomor hp dan ganti kartu expresi via mybca sudah bisa blm ya, dan menu quik akses tanpa login dong",ganti nomor hp ganti kartu expresi via mybca blm menu quik akses login
kenapa bca saya tidak bisa dibuka,bca tidak buka
Sering ngebug padahal app nya enak tp sayang layanan nya harus lebih ditingkatkan,ngebug app enak tp sayang layan tingkat
"saya merasa terbantu n pelayanannya cepet jg ramah,BCA tingkatin trus utk cs n jaringannya ya",bantu layan cepet jg ramah bca tingkatin trus utk cs jaring
gangguan terus sangat ganggu jam segini belum bisa di buka,ganggu ganggu jam gin belum buka
"alah sekalinya maintaince melebihi estimasi, wooyy di benahin cara maintaince sistemnya, jgn potongan bulanan di gedein, layanan gak di benahin",alah sekali maintaince lebih estimasi wooyy benahin maintaince sistem jgn potong bulan gedein layan benahin
"maintence nya ganggu pengguna, sudah di estimasi waktunya. setelah estimasi selesai malah masih gitu juga. sangat tidak puas",maintence ganggu guna estimasi estimasi selesai gitu tidak puas
"buka my bca jam 4pagi ini, tulisan nya mah lg pemeliharaan sistem.. lg kenapa dah bca? pdahal udh update an terbaru.",buka bca jam pagi tulis mah lg pelihara sistem lg dah bca pdahal udh update an baru
coba kalau pembaruan tu jan terlalu lama ini sampe jam 04:00 udah lewat masih aja tau orang ada urusan mau transfer,coba baru tu jan sampe jam tau orang urus transfer
"GEDEG BANGET SAMA SYSTEM PERBAIKAN MYBCA YG TERUS TERUSAN DI LAKUIN DARI JAM 00-04 PAGI KITA KEHABISAN TOKEN MAU ISI HARUS NUNGGU SELAMA ITU, UDAH DI TUNGGU SMPE JAM 4 PAGI MALAH TTP GA BISA HARUS NUNGGU LAGI, JAM 23-01 PAGI GA BISA ISI TOKEN JAM 00 ADA PERBAIKAN SMPE JAM 4 MY BCA NI LAMA LAMA NGESELIN KLO LG URGENT GINI, KOCAK",gedeg system baik mybca terus lakuin jam pagi habis token isi nunggu tunggu smpe jam pagi ttp nunggu jam pagi isi token jam baik smpe jam bca ni ngeselin klo lg urgent gin kocak
"Ngeselin amat anjrit kalau udah maintenance, lama banget susah kalau lagi urgent butuh uang harus ke ATM dulu jadinya",ngeselin anjrit maintenance susah urgent butuh uang atm
terlalu lama mainstream nya,mainstream
pemeliharaan sistem nya lama banget mending pakai seabank aja,pelihara sistem mending pakai seabank
ganguan kok lama sekali di pemberitahuan sampai jam 04.00. udah waktu nya masih gak bisa buka gimana ini,ganguan pemberitahuan jam buka gimana
kok ga bisa di pake mbangking nya bos? tolong di cek ya nanti saya kembalikan bintang 5.,pake mbangking bos tolong cek kembali bintang
parah pemeliharaan sangat lama,parah pelihara
"parah ini apk,banyakan eror nya",parah apk banyak eror
ini pemeliharaan lama banget dari jam 00:00 sampe 04:00 kga bisa di akses,pelihara jam sampe kga akses
kelamaan pemeliharaan sistem nya,pelihara sistem
pemeliharaan sistem lama,pelihara sistem
lama perbaikan nya,baik
Simple dan mudah,simple mudah
trimakasih sudah melanyan kita dngn baik,trimakasih melanyan dngn
kebanyakan update,banyak update
giliran urgent maintenance mana lama lagi kalau maintenance,gilir urgent maintenance maintenance
kurang kurangin maintenance nyaa my BCA gw mau transaksi maintenance mulu hadeuhh,kurang rangin maintenance nyaa bca gw transaksi maintenance mulu hadeuhh
saya ada keperluan penting tidak bisa login karna pemeliharaan nya lama sekali padahal saya ada keperluan penting,perlu tidak login karna pelihara perlu
hdehhhh sangkut amat ya apa lgi ini pemeliharaan GX jlasssss ada ada aja.aplikasi kurang bgus,hdehhhh sangkut lgi pelihara gx jlasssss aplikasi kurang bgus
"mau buka m banking aja GK bisa, masalah perbaikan la apalah, uang disitu semua, mana ATM ku juga gak ada. gak bisa belanja aku perkara perbaikan perbaikan. anjir",buka banking baik la apa uang situ atm ku belanja perkara baik baik anjir
cokcokk perkara pemeliharaan 4 jam jadinya gak bisa bayar.,cokcokk perkara pelihara jam bayar
maintenance kelamaan gak jelas,maintenance
saya sedang di area yg tidak ada atm bca indomaret dan alfamart. cuma bisa cash dan qris. sedangkan bca pemeliharaan disaat kita kerja malam. tolong ya... kita butuh di jam malam,area tidak atm bca indomaret alfamart cash qris bca pelihara saat kerja malam tolong butuh jam malam
lemottttttttttt sistem lama buat cari yg satset Ng d anjurkn,lemottttttttttt sistem cari satset ng anjurkn
sumpah kenapa si harus maintenance mulu tiap malem?,sumpah si maintenance mulu malem
ini kenapa sering pemeliharaan terus,pelihara
knapa gangguan di saat jm 1.00sampai 4.00,knapa ganggu jm
bentar .. bentar .. gangguan . GK lama lagi gangguan. macam apa ini ..,bentar bentar ganggu ganggu
good,good
"ga ngasih info klo ad masalah,",ngasih info klo ad
"kenapa setiap pemeliharaan selalu di jam 00.00, trkadang saya ada keperluan di jam tersebut, tapi aplikasi tidak bisa digunakan sama sekali, sangat kecewa berat, aplikasi sebelah setiap ada pemeliharaan masih bisa dipergunakan, dan akan ada info jam nya sebelum pemeliharaan dilakukan, jadi masih bisa antisipasi, bintang 2 pun sudah terlalu bagus menurut opini saya.",pelihara jam trkadang perlu jam aplikasi tidak kecewa berat aplikasi belah pelihara info jam pelihara antisipasi bintang bagus opini
lagi laper tengah dalu pgn mcd.. eh pas byr gabs dibuka .. katanya ada pemeliharaan sampe jam 4 pagi.. astaga.. malu bener dah dliatin org2,laper dalu pgn mcd eh pas byr gabs buka pelihara sampe jam pagi astaga malu bener dah dliatin org
"mau bayar tiket kereta pakek qris mbanking mybca malah maintainance , kenapa selalu jam 00.00 🤦🏻🤦🏻🤦🏻🤦🏻",bayar tiket kereta pakek qris mbanking mybca maintainance jam
kacau aplikasinya sekarang indikator merah terus,kacau aplikasi indikator merah
Klo bisa mau minta kode otp itu gak harus lah ada pake pulsa,klo kode otp pake pulsa
hadehh lemot parah sekarang,hadehh parah
"dibantu dong min, notif upgardenya. sebelumya kepencet skip.",bantu min notif upgardenya sebelumya pencet skip
kode negara Indonesia gak ada blok,kode negara indonesia blok
benerin dong ovt ga masuk masuk pulsa ada sinyal bagus ga masuk masuk,benerin ovt masuk masuk pulsa sinyal bagus masuk masuk
kode region indonesia tidak ada,kode region indonesia tidak
"gimana yaa lemot banget asli kalo mau buka tuh, tiap buka force close mulu, udah di hapus data dll tapi tetep force close trs....",gimana yaa asli kalo buka tuh buka force close mulu hapus data dll tetep force close trs
aplikasi sangat bagus,aplikasi bagus
"ini mau login ttpi knpa kode negara indonesia tidak muncul yaa, pdhl saya di jateng",login ttpi knpa kode negara indonesia tidak muncul yaa pdhl jateng
mau login susah gegara hp ke riset dan berkali2 verifikasi wajah gk masuķ aja. gagal mulu.. masa sih ngedetek wajahnya aja gk bisa aplikasinya di benerin dong.,login susah gegara hp riset kali verifikasi wajah masu gagal mulu sih ngedetek wajah aplikasi benerin
good ilike,good ilike
gak bisa update,update
bagus,bagus
verifikasi wajahnya kurang membantu,verifikasi wajah kurang bantu
"penggunaan gampang, transaksi lancar. ada masalahpun cs cepat tanggap dan terselesaikan. mantap ni BCA",guna gampang transaksi lancar masalah cs cepat tanggap selesai mantap ni bca
sangat berguna,guna
oke,oke
